"abbr","league","club_name","fifa_club_name"
"SOC","French Ligue 1","Sochaux","FC Sochaux-Montbéliard"
"SOU","English Premier League","Southampton","Southampton"
"SPA","Dutch Eredivisie","Sparta Rotterdam","Sparta Rotterdam"
"SPAL","Italian Serie A","SPAL","SPAL"
"SPE","Italian Serie A","Spezia","Spezia"
"STK","English Premier League","Stoke City","Stoke City"
"STP","German Bundesliga","FC St. Pauli","FC St. Pauli"
"STRA","French Ligue 1","Strasbourg","RC Strasbourg Alsace"
"SUN","English Premier League","Sunderland","Sunderland"
"SWA","English Premier League","Swansea","Swansea City"
"TEN","Spanish La Liga","Tenerife","CD Tenerife"
"TOR","Italian Serie A","Torino","Torino"
"TOT","English Premier League","Tottenham","Tottenham Hotspur"
"TOUL","French Ligue 1","Toulouse","Toulouse Football Club"
"Treviso","Italian Serie A","Treviso","Treviso"
"TRY","French Ligue 1","Troyes","ESTAC Troyes"
"TSV","German Bundesliga","TSV München 1860","TSV 1860 München"
"TWE","Dutch Eredivisie","Twente","FC Twente"
"UDN","Italian Serie A","Udinese","Udinese"
"Unterhaching","German Bundesliga","Unterhaching","SpVgg Unterhaching"
"UTR","Dutch Eredivisie","Utrecht","FC Utrecht"
"VAFC","French Ligue 1","Valenciennes FC","Valenciennes FC"
"VALL","Spanish La Liga","Real Valladolid FC","Real Valladolid CF"
"VAL","Spanish La Liga","Valencia","Valencia CF"
"Venezia","Italian Serie A","Venezia","Venezia"
"VEN","Italian Serie A","Venezia","Venezia"
"VER","Italian Serie A","Verona","Hellas Verona"
"VFB","German Bundesliga","VfB Stuttgart","VfB Stuttgart"
"VIC","Italian Serie A","Vicenza","Vicenza"
"VIL","Spanish La Liga","Villareal","Villarreal CF"
"VIT","Dutch Eredivisie","Vitesse","Vitesse"
"VOL","Dutch Eredivisie","Volendam","FC Volendam"
"VVV","Dutch Eredivisie","VVV Venlo","VVV-Venlo"
"WAT","English Premier League","Watford","Watford"
"WBA","English Premier League","West Bromwich","West Bromwich Albion"
"WER","German Bundesliga","SV Werder Bremen","SV Werder Bremen"
"WGA","English Premier League","Wigan Athletic","Wigan Athletic"
"WHU","English Premier League","West Ham","West Ham United"
"WIL","Dutch Eredivisie","Willem II","Willem II"
"WOB","German Bundesliga","WfL Wolfsburg","VfL Wolfsburg"
"WOL","English Premier League","Wolverhampton","Wolverhampton Wanderers"
"XER","Spanish La Liga","Xerez","Xerez Club Deportivo"
"ZAR","Spanish La Liga","Real Zaragoza","Real Zaragoza"
"ROSTOCK","German Bundesliga","FC Rostock","F.C. Hansa Rostock"
